race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Caucasian (European),38,No,Male,Right,Another page,IT,1,4,3,3,2,2,1,4,4,4,2,4,4,2,2,3,1,1,1,2,3,3,2,5,2,3,3,3,4,4,4,2,4,2,2,1,5,3,3,4,4,1,4,1,4,1,5,4,5,3,24,22,36,38,44,48.0,44.0,72.0,76.0,88.0
Caucasian (European),19,Yes,Female,Right,Another page,US,3,2,4,2,4,1,4,3,2,4,4,3,3,4,3,3,3,2,2,2,1,5,1,5,1,5,1,4,5,5,4,2,4,2,2,4,3,2,4,4,3,2,4,1,4,1,3,3,4,3,35,27,49,35,38,70.0,54.0,98.0,70.0,76.0
Other,19,Yes,Female,Right,Another page,US,1,3,2,4,3,2,2,5,2,3,4,2,5,2,5,4,4,4,4,4,2,4,2,5,2,5,2,5,5,3,2,5,4,5,2,5,3,3,2,3,3,2,4,2,3,1,2,2,5,3,23,42,43,22,35,46.0,84.0,86.0,44.0,70.0
Caucasian (European),18,Yes,Female,Right,Other or not provided,US,4,1,4,2,5,2,4,2,4,1,3,3,4,3,3,2,3,3,2,3,2,1,2,4,2,4,2,4,4,4,4,2,3,3,3,3,4,3,4,4,2,2,3,3,3,3,3,2,4,3,43,29,37,35,30,86.0,58.0,74.0,70.0,60.0
South East Asian,21,No,Female,Right,Another page,CN,3,2,3,3,4,2,3,2,4,5,4,2,3,2,3,3,3,2,3,2,3,4,3,3,3,3,3,3,3,3,4,4,2,1,2,4,4,3,4,4,3,4,3,4,3,2,3,2,3,3,33,31,31,32,28,66.0,62.0,62.0,64.0,56.0
South East Asian,22,Yes,Female,Right,Google,MY,4,3,4,2,3,3,2,1,4,4,3,4,4,2,3,3,3,3,3,1,2,4,2,4,2,3,2,2,4,4,3,2,3,2,4,1,3,2,4,4,4,2,3,2,4,1,5,3,4,3,34,29,37,38,39,68.0,58.0,74.0,76.0,78.0
"Caucasian (North African, Other)",25,Yes,Female,Right,Other or not provided,US,3,4,3,5,3,4,3,5,1,5,4,3,5,3,4,4,4,4,4,3,2,3,3,4,2,4,2,3,3,4,4,5,4,4,4,5,5,2,4,5,3,3,4,3,3,2,4,3,5,3,20,38,36,34,35,40.0,76.0,72.0,68.0,70.0
Other,18,No,Female,Right,Another page,,3,1,5,5,5,3,5,2,4,2,5,4,5,1,3,5,4,4,5,1,5,5,3,3,2,5,1,2,4,4,4,5,5,3,3,5,4,2,1,4,5,2,5,1,5,1,4,3,5,5,39,39,36,30,46,78.0,78.0,72.0,60.0,92.0
Caucasian (European),26,Yes,Female,Right,Other or not provided,CA,3,2,5,1,5,1,5,2,5,1,2,3,3,2,2,2,4,2,3,3,1,5,1,5,1,5,1,4,5,4,5,3,5,2,3,4,5,1,5,4,4,2,5,2,4,1,4,3,5,5,46,28,48,41,43,92.0,56.0,96.0,82.0,86.0
Mixed Race,21,No,Female,Right,Another page,MX,3,3,4,2,2,3,2,4,5,2,4,3,4,2,3,4,3,2,3,3,2,3,3,3,3,5,3,4,4,2,3,2,3,3,4,2,3,4,2,4,2,3,4,3,4,1,3,2,3,4,32,33,34,32,33,64.0,66.0,68.0,64.0,66.0
Caucasian (European),46,Yes,Male,Right,Another page,US,4,1,5,2,5,1,4,2,3,1,2,5,1,4,1,2,1,1,1,1,1,5,1,4,2,5,1,5,4,4,2,3,3,3,3,4,2,2,1,3,4,2,5,1,4,1,3,1,3,4,44,13,46,26,38,88.0,26.0,92.0,52.0,76.0
Caucasian (European),23,Yes,Female,Right,Another page,GB,2,4,3,3,2,3,2,4,4,4,4,4,4,3,2,4,4,4,4,2,1,5,1,5,1,5,1,5,5,4,3,3,4,2,3,4,3,2,2,4,3,2,5,1,4,2,4,4,4,5,25,33,49,32,42,50.0,66.0,98.0,64.0,84.0
Caucasian (European),19,Yes,Male,Left,Another page,US,1,4,2,4,3,4,1,5,2,5,3,4,3,3,4,2,3,1,2,2,2,4,2,5,2,4,2,4,5,4,3,3,5,4,1,4,4,3,3,4,4,2,5,1,4,1,2,4,5,4,17,25,42,30,42,34.0,50.0,84.0,60.0,84.0
Caucasian (European),21,Yes,Female,Right,Another page,US,1,3,1,5,1,5,1,5,1,5,4,3,5,1,2,4,4,3,2,3,1,3,2,5,2,5,3,3,5,3,1,5,5,4,1,5,2,5,3,5,2,2,4,1,5,1,5,1,5,3,12,35,40,22,39,24.0,70.0,80.0,44.0,78.0
Caucasian (European),18,Yes,Female,Left,Other or not provided,US,1,5,1,5,1,5,1,1,1,5,1,1,1,1,5,5,5,5,5,5,5,1,5,1,5,1,5,1,1,1,1,5,1,5,1,1,1,5,1,1,1,5,1,5,1,5,1,1,1,1,14,42,10,14,10,28.0,84.0,20.0,28.0,20.0
Caucasian (European),49,No,Male,Right,Another page,IT,2,5,3,4,3,1,2,4,2,5,2,4,4,5,4,4,2,2,4,1,4,3,3,2,4,2,4,3,4,3,4,1,2,1,2,5,1,2,2,4,5,2,2,2,4,4,5,5,4,3,23,26,26,30,38,46.0,52.0,52.0,60.0,76.0
South East Asian,18,Yes,Female,Right,Other or not provided,US,2,4,4,4,4,2,1,4,3,4,4,4,4,1,4,5,4,4,3,5,2,5,3,3,1,2,2,3,3,4,2,5,4,2,3,3,2,4,2,2,4,2,3,4,3,2,5,3,4,3,26,40,36,25,35,52.0,80.0,72.0,50.0,70.0
Caucasian (European),18,Yes,Male,Right,Other or not provided,US,5,1,5,1,5,1,5,4,5,1,5,3,3,5,2,1,2,2,2,1,1,5,1,5,1,5,1,5,5,4,4,3,5,2,3,3,3,1,3,4,4,1,5,2,4,1,4,4,4,5,47,22,49,37,44,94.0,44.0,98.0,74.0,88.0
Caucasian (European),37,Yes,Male,Right,Another page,US,2,5,4,4,2,4,2,4,2,4,2,4,4,3,2,2,2,2,2,3,2,3,2,4,3,4,3,3,3,4,4,2,5,3,2,2,5,2,2,4,5,2,4,3,4,2,4,3,5,4,21,24,35,37,40,42.0,48.0,70.0,74.0,80.0
Mixed Race,21,No,Male,Right,Another page,MX,3,2,5,2,4,1,3,2,2,3,2,5,5,5,1,2,1,1,1,1,1,4,2,4,2,2,2,5,3,5,5,5,4,2,4,4,5,2,4,4,2,1,2,1,5,2,5,2,5,4,37,16,40,37,39,74.0,32.0,80.0,74.0,78.0
Caucasian (European),20,Yes,Female,Right,Google,US,3,2,4,3,4,2,4,2,5,4,4,4,3,3,1,2,4,4,1,3,1,5,2,5,1,4,1,5,5,5,2,4,1,2,1,4,3,2,1,2,4,1,5,1,5,1,5,4,4,5,37,27,48,22,47,74.0,54.0,96.0,44.0,94.0
Caucasian (European),45,Yes,Female,Right,Google,AU,3,1,3,2,4,1,1,1,2,2,4,1,4,1,3,4,4,4,4,4,1,5,1,4,1,3,1,5,4,5,4,4,5,2,5,3,4,1,4,4,4,1,3,1,4,4,5,4,5,5,36,41,46,40,42,72.0,82.0,92.0,80.0,84.0
Mixed Race,18,Yes,Male,Right,Google,US,4,1,5,1,4,1,3,2,4,2,2,5,4,2,1,1,2,2,1,2,1,5,2,4,4,4,1,4,4,4,4,3,4,1,1,4,3,2,2,4,3,1,5,1,3,1,3,4,5,5,43,20,41,32,43,86.0,40.0,82.0,64.0,86.0
Caucasian (European),36,Yes,Female,Right,Another page,US,4,2,4,2,4,2,4,2,4,4,4,3,4,3,2,4,3,3,3,3,1,4,2,4,1,5,2,4,4,4,3,2,4,2,5,1,4,2,4,4,4,3,4,3,4,2,4,4,4,4,38,32,43,41,38,76.0,64.0,86.0,82.0,76.0
South East Asian,57,No,Male,Right,Another page,US,2,4,2,4,3,2,2,2,2,5,3,4,3,3,2,2,2,2,2,2,3,3,1,3,3,5,4,3,4,5,4,2,4,2,4,1,5,2,5,4,2,1,4,2,3,3,5,4,3,2,24,23,36,43,35,48.0,46.0,72.0,86.0,70.0
Other,44,Yes,Male,Left,Another page,US,2,4,4,4,3,4,3,4,3,4,3,3,3,2,3,2,4,3,2,4,2,4,1,4,2,4,2,4,4,4,4,1,5,1,4,1,4,1,4,4,3,3,2,3,4,4,3,3,4,3,25,31,41,45,30,50.0,62.0,82.0,90.0,60.0
Caucasian (European),28,No,Male,Right,Another page,DE,3,4,4,5,4,4,1,5,1,5,4,3,5,2,3,4,3,2,3,2,2,3,1,4,3,4,2,3,3,3,4,5,4,4,1,5,3,3,1,3,5,3,5,2,3,1,4,3,4,3,20,33,36,23,39,40.0,66.0,72.0,46.0,78.0
Caucasian (European),16,Yes,Male,Left,Another page,GB,1,3,1,5,2,4,1,5,1,5,5,4,4,3,4,4,4,4,4,4,4,2,4,2,4,2,4,2,2,3,4,3,4,4,1,4,3,4,2,3,4,3,5,3,4,1,4,4,4,4,14,38,21,26,40,28.0,76.0,42.0,52.0,80.0
Other,25,No,Female,Left,Another page,US,3,4,3,3,3,3,3,5,1,3,3,3,3,3,3,1,2,1,2,2,2,5,1,5,2,4,2,1,5,4,3,3,4,3,3,3,4,1,3,3,4,3,3,3,3,3,4,1,5,3,25,23,41,34,32,50.0,46.0,82.0,68.0,64.0
Caucasian (Middle East),17,Yes,Female,Right,Other or not provided,CA,2,1,5,3,5,1,5,5,3,3,3,3,5,2,3,4,3,3,2,3,1,5,3,5,1,4,1,5,5,5,3,3,5,2,2,5,3,1,2,5,2,3,5,1,3,1,3,3,2,5,37,33,47,33,36,74.0,66.0,94.0,66.0,72.0
Caucasian (European),25,Yes,Male,Right,Google,US,2,4,2,3,2,2,2,2,4,5,2,2,4,2,3,2,3,3,3,4,4,2,4,3,4,1,4,3,4,3,4,1,4,3,2,1,4,4,4,3,4,1,5,2,4,1,3,3,4,4,26,32,24,36,41,52.0,64.0,48.0,72.0,82.0
Caucasian (European),18,Yes,Male,Right,Other or not provided,US,3,2,4,2,4,4,2,4,4,2,4,5,3,1,4,3,3,3,3,4,1,4,4,5,2,3,1,5,4,4,3,2,5,1,1,2,4,2,4,5,5,1,5,1,3,1,5,5,5,5,33,33,41,39,48,66.0,66.0,82.0,78.0,96.0
Caucasian (European),17,Yes,Female,Right,Another page,US,1,5,1,5,1,4,1,4,4,5,1,5,4,3,3,1,3,1,1,4,4,2,4,1,4,3,4,3,1,2,2,4,5,4,2,3,4,3,3,3,4,2,4,2,3,2,5,4,4,4,15,22,20,29,40,30.0,44.0,40.0,58.0,80.0
South East Asian,17,No,Female,Right,Another page,US,1,5,1,5,1,5,1,5,1,5,5,3,5,5,2,4,4,3,4,5,4,2,4,4,2,3,2,5,4,1,2,4,2,4,1,5,3,3,2,4,1,2,5,2,4,2,5,1,5,5,10,36,31,22,38,20.0,72.0,62.0,44.0,76.0
Mixed Race,16,Yes,Male,Right,Another page,US,4,3,4,2,4,3,2,3,5,2,2,4,4,3,3,1,2,1,2,3,5,5,1,5,1,5,1,4,5,4,2,4,4,2,2,4,3,3,5,3,3,2,5,4,3,2,5,3,4,3,36,23,44,30,36,72.0,46.0,88.0,60.0,72.0
Caucasian (European),48,Yes,Female,Right,Another page,US,2,3,4,3,3,1,2,4,2,5,3,5,2,4,1,1,3,2,1,1,1,4,2,5,3,5,3,4,5,5,5,5,4,1,3,3,4,1,4,4,5,1,5,1,5,1,4,4,5,5,27,17,43,38,48,54.0,34.0,86.0,76.0,96.0
Mixed Race,19,No,Female,Right,Other or not provided,MX,3,2,4,3,4,2,4,5,3,3,1,2,4,3,2,3,3,2,2,4,4,4,2,5,1,3,2,3,4,3,2,3,2,3,2,3,1,3,2,3,4,2,5,3,4,1,4,3,4,5,33,28,37,24,41,66.0,56.0,74.0,48.0,82.0
Caucasian (European),29,Yes,Male,Left,Another page,US,5,2,3,3,4,2,4,2,5,3,1,5,4,4,1,2,2,4,2,1,5,4,4,1,4,1,2,2,1,4,2,4,4,4,1,4,2,4,1,2,5,1,5,1,5,1,5,5,5,5,39,20,22,20,50,78.0,40.0,44.0,40.0,100.0
Mixed Race,16,Yes,Male,Right,Another page,US,1,3,2,5,2,2,2,5,2,5,5,2,5,1,4,5,5,4,5,5,2,2,3,4,2,5,3,3,5,3,1,5,2,4,1,5,2,5,1,2,3,3,5,2,3,2,3,2,5,4,19,47,36,14,36,38.0,94.0,72.0,28.0,72.0
Caucasian (European),19,Yes,Female,Right,Facebook,US,2,2,4,3,4,1,4,4,1,2,4,3,5,4,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,5,2,3,2,5,1,5,5,2,1,5,2,3,5,4,1,5,4,33,20,50,45,34,66.0,40.0,100.0,90.0,68.0
Caucasian (European),18,Yes,Female,Right,Other or not provided,US,3,3,3,3,3,2,3,5,3,4,3,3,3,3,4,2,3,2,3,2,1,4,1,5,2,5,1,5,4,4,4,3,4,1,2,2,4,2,3,3,2,2,3,2,3,2,2,2,4,3,28,28,46,36,31,56.0,56.0,92.0,72.0,62.0
Caucasian (European),42,No,Male,Right,Another page,IT,2,4,3,4,3,2,2,4,3,3,2,3,4,3,4,3,3,2,2,3,2,3,2,4,2,3,3,3,4,4,3,2,4,4,3,2,2,4,4,4,4,2,4,2,4,2,4,2,4,4,26,29,36,32,38,52.0,58.0,72.0,64.0,76.0
Caucasian (European),18,Yes,Female,Right,Another page,US,3,4,3,3,3,1,5,3,3,3,5,2,5,2,2,2,2,2,4,2,1,5,2,4,2,2,1,3,3,4,4,4,5,3,3,1,4,1,3,5,3,1,5,1,4,2,4,2,4,4,33,32,39,39,40,66.0,64.0,78.0,78.0,80.0
Caucasian (European),20,Yes,Female,Right,Another page,CA,4,4,4,4,4,2,2,4,3,4,2,4,2,3,2,4,3,3,3,2,2,5,3,5,3,4,2,4,4,5,4,5,4,4,1,5,3,4,2,3,5,3,5,2,5,1,4,3,4,5,29,26,41,23,43,58.0,52.0,82.0,46.0,86.0
Caucasian (European),25,No,Female,Right,Another page,CA,4,2,5,2,5,2,5,2,4,2,1,4,2,3,3,1,2,2,1,3,3,4,2,4,3,4,2,3,4,4,2,4,4,3,1,4,3,3,2,4,5,1,5,1,5,1,5,3,4,5,43,20,37,26,47,86.0,40.0,74.0,52.0,94.0
Caucasian (Indian),30,No,Female,Left,Google,PK,3,2,5,2,4,2,4,1,4,2,2,2,4,2,3,2,3,2,2,2,1,5,2,4,2,4,2,2,4,4,5,3,4,2,2,2,2,2,4,4,4,1,4,2,4,1,5,2,4,4,41,28,40,36,41,82.0,56.0,80.0,72.0,82.0
Caucasian (European),29,No,Other,Right,Another page,IT,1,5,1,5,1,5,1,5,1,5,5,3,5,1,4,4,4,4,3,5,3,3,1,3,4,2,4,1,2,3,2,2,4,5,2,3,2,5,3,2,4,1,5,2,3,2,3,4,5,4,10,42,26,24,41,20.0,84.0,52.0,48.0,82.0
Mixed Race,16,Yes,Female,Right,Another page,US,4,2,5,1,5,1,3,2,5,2,1,5,2,5,1,1,1,1,2,1,5,4,5,1,4,1,4,2,2,2,4,5,4,4,4,4,3,1,5,4,4,1,5,4,5,1,5,5,2,5,44,12,18,34,43,88.0,24.0,36.0,68.0,86.0
Caucasian (European),21,Yes,Male,Right,Another page,US,1,5,2,3,3,3,2,5,2,3,4,2,5,1,2,4,1,3,5,5,2,3,2,4,1,2,3,4,4,3,5,1,5,1,3,1,4,2,5,5,5,1,5,1,5,1,5,5,5,5,21,38,36,46,50,42.0,76.0,72.0,92.0,100.0
Mixed Race,16,Yes,Female,Right,Another page,US,1,5,2,5,1,1,1,5,5,5,4,5,4,1,2,4,5,5,4,4,2,4,2,5,2,4,2,3,5,4,1,5,2,5,1,5,2,4,1,2,4,2,5,1,4,1,4,4,4,5,19,38,41,14,44,38.0,76.0,82.0,28.0,88.0
Caucasian (European),51,Yes,Male,Right,Google,US,1,5,3,5,3,3,3,5,1,4,4,3,5,2,4,3,3,3,3,4,3,4,3,4,3,4,3,2,4,3,3,4,4,3,2,4,2,3,4,2,4,2,3,2,3,4,3,3,4,3,19,36,33,27,33,38.0,72.0,66.0,54.0,66.0
Mixed Race,25,No,Female,Right,Another page,US,1,2,5,2,5,2,1,2,3,4,2,2,2,4,3,3,2,2,3,1,2,4,1,5,1,5,3,4,5,1,3,1,4,1,5,1,5,1,5,4,3,1,3,1,3,1,4,2,4,3,33,24,41,46,37,66.0,48.0,82.0,92.0,74.0
"Caucasian (North African, Other)",17,Yes,Male,Left,Another page,US,2,3,4,4,4,3,2,4,2,4,3,4,4,2,4,2,3,2,2,4,2,4,2,4,2,4,2,4,3,4,3,4,4,4,3,2,4,4,2,3,4,2,5,3,4,1,4,4,4,4,26,30,39,29,41,52.0,60.0,78.0,58.0,82.0
South East Asian,23,No,Male,Right,Another page,PH,2,5,1,5,1,5,1,1,1,5,1,5,1,4,1,1,2,1,1,1,2,3,1,4,1,5,5,4,4,3,4,4,4,5,3,1,1,4,1,2,3,1,5,1,4,2,5,4,4,5,15,12,38,25,44,30.0,24.0,76.0,50.0,88.0
Caucasian (European),24,No,Female,Right,Another page,IL,4,1,2,2,4,1,2,3,5,1,4,3,4,1,3,3,4,3,5,4,1,3,2,5,4,5,4,4,5,3,3,5,3,5,1,5,2,3,2,3,4,1,5,3,4,1,5,1,5,5,39,38,38,20,42,78.0,76.0,76.0,40.0,84.0
Caucasian (European),33,Yes,Female,Right,Google,US,5,1,4,2,4,1,5,2,5,2,5,2,5,2,4,5,4,5,5,4,4,5,4,3,4,2,4,4,2,2,1,5,2,5,3,4,4,3,3,2,3,3,4,2,3,2,3,3,5,4,45,45,26,22,36,90.0,90.0,52.0,44.0,72.0
Caucasian (European),21,Yes,Female,Right,Other or not provided,US,3,2,2,4,4,2,1,5,1,5,5,1,5,1,5,5,5,3,4,4,1,5,2,5,1,5,1,5,5,4,5,1,4,1,5,1,5,1,4,5,4,4,4,5,5,2,5,4,4,3,23,46,48,48,36,46.0,92.0,96.0,96.0,72.0
Caucasian (European),19,Yes,Female,Right,Another page,US,3,2,4,2,4,2,3,3,4,2,4,3,4,2,2,2,3,3,2,2,1,5,1,5,2,4,1,5,5,4,3,3,3,3,2,3,2,2,2,3,2,2,4,1,4,2,4,2,4,4,37,29,47,28,37,74.0,58.0,94.0,56.0,74.0
Caucasian (European),21,Yes,Male,Right,Google,US,5,1,5,1,4,1,5,1,5,2,2,4,4,5,2,1,2,2,3,1,4,3,4,1,2,1,2,4,2,4,2,4,2,3,1,3,2,2,2,5,4,2,4,3,4,2,2,4,4,5,48,20,27,26,38,96.0,40.0,54.0,52.0,76.0
Other,41,Yes,Female,Right,Another page,US,2,3,4,5,4,3,3,5,1,4,4,3,4,4,4,3,3,3,2,2,1,5,1,4,3,4,2,4,4,2,4,4,5,3,5,3,4,3,4,5,4,3,4,3,3,2,4,4,4,3,24,30,40,38,36,48.0,60.0,80.0,76.0,72.0
Caucasian (European),22,Yes,Female,Left,Other or not provided,US,1,2,3,2,3,3,2,3,3,5,3,4,3,3,2,1,1,2,1,2,1,4,1,5,2,5,1,4,5,3,3,4,2,3,2,4,1,2,2,2,5,1,4,1,4,1,4,3,3,4,27,20,45,23,42,54.0,40.0,90.0,46.0,84.0
South East Asian,19,Yes,Male,Right,Other or not provided,US,4,1,4,3,4,2,5,2,5,2,2,5,5,3,2,2,2,1,2,2,2,5,4,4,2,3,2,4,4,4,3,3,4,2,3,4,4,2,3,3,3,2,4,2,3,1,4,2,4,4,42,22,38,33,37,84.0,44.0,76.0,66.0,74.0
Caucasian (European),16,No,Female,Right,Another page,CA,2,5,3,3,2,4,1,4,3,5,2,3,5,1,4,4,3,4,3,5,1,2,2,4,2,4,3,3,4,3,4,3,4,2,3,3,4,2,4,5,4,2,4,3,2,2,4,2,4,3,20,38,36,38,34,40.0,76.0,72.0,76.0,68.0
South East Asian,16,Yes,Female,Right,Another page,US,3,2,4,2,5,1,5,3,4,2,4,2,5,2,3,5,4,4,3,2,1,5,1,5,1,5,1,5,5,4,4,3,5,2,4,2,5,2,5,4,4,2,5,1,4,1,3,4,5,5,41,38,49,42,44,82.0,76.0,98.0,84.0,88.0
Other,23,No,Male,Right,Other or not provided,KR,5,2,3,3,4,4,2,3,3,3,3,4,4,3,4,2,4,3,3,3,3,3,3,3,3,2,3,2,4,3,4,3,4,4,3,3,3,3,2,3,3,4,3,3,4,3,4,4,4,4,32,31,29,30,34,64.0,62.0,58.0,60.0,68.0
Caucasian (European),21,Yes,Female,Left,Another page,US,3,3,2,4,3,2,4,4,1,5,4,2,4,1,4,4,3,3,4,5,1,4,2,5,1,4,1,5,5,3,4,2,4,3,4,2,4,2,4,5,4,1,4,1,4,2,4,4,4,4,25,40,45,40,42,50.0,80.0,90.0,80.0,84.0
Caucasian (European),27,Yes,Female,Right,Google,US,1,3,3,4,2,3,2,4,2,5,2,4,4,2,2,2,4,3,3,3,2,3,1,3,4,2,3,3,3,3,2,5,4,4,1,5,3,3,4,5,5,1,3,2,4,2,5,5,5,3,21,29,31,26,43,42.0,58.0,62.0,52.0,86.0
Caucasian (European),17,Yes,Female,Right,Another page,US,4,3,4,2,2,1,5,2,5,5,4,2,5,3,2,4,5,5,2,2,1,5,1,5,1,5,1,5,5,4,3,5,5,2,1,5,2,2,2,4,5,1,5,1,4,1,5,4,5,5,37,36,49,27,48,74.0,72.0,98.0,54.0,96.0
"Caucasian (North African, Other)",21,No,Male,Right,Google,SA,1,5,4,4,3,2,1,4,2,5,1,1,5,2,1,1,1,1,1,1,1,3,1,5,1,4,2,4,5,2,4,1,5,2,5,4,5,1,5,4,5,1,5,2,4,1,5,2,5,3,21,21,42,44,43,42.0,42.0,84.0,88.0,86.0
South East Asian,21,No,Female,Right,Another page,PH,3,1,5,3,4,3,5,4,5,2,5,3,5,3,5,5,4,3,5,3,1,5,2,5,3,5,1,5,5,5,4,4,4,4,2,5,4,2,4,3,3,2,5,3,3,1,4,2,5,3,39,41,47,30,37,78.0,82.0,94.0,60.0,74.0
South East Asian,27,No,Male,Right,Another page,FR,3,3,4,3,4,2,5,2,5,5,5,4,4,4,4,2,3,2,4,4,3,4,4,3,2,3,2,4,3,4,4,2,4,2,4,4,4,2,5,5,4,2,4,2,5,1,5,2,3,5,36,32,34,40,41,72.0,64.0,68.0,80.0,82.0
Caucasian (European),19,Yes,Male,Right,Another page,US,3,3,3,3,4,3,3,2,2,4,4,2,4,2,4,4,2,3,4,4,4,4,3,5,2,3,2,4,4,4,3,3,4,1,2,2,3,3,3,3,2,2,3,3,4,3,4,2,4,3,30,37,37,33,32,60.0,74.0,74.0,66.0,64.0
Caucasian (European),56,Yes,Female,Right,Another page,AU,1,4,3,4,2,3,1,5,1,5,3,3,4,4,3,3,3,3,4,3,1,4,1,4,2,4,3,4,4,3,4,1,5,1,4,1,5,1,4,5,4,2,4,2,3,2,5,4,4,4,17,31,40,47,40,34.0,62.0,80.0,94.0,80.0
Mixed Race,25,Yes,Male,Right,Another page,EU,2,2,2,4,2,3,2,4,2,5,4,2,4,2,4,4,3,2,4,3,2,3,2,4,2,3,3,3,3,3,2,2,4,3,2,3,4,3,3,3,2,3,5,3,3,2,2,2,4,3,22,36,34,31,31,44.0,72.0,68.0,62.0,62.0
"Caucasian (North African, Other)",19,Yes,Female,Left,Other or not provided,US,3,1,4,2,5,2,4,5,2,2,2,5,2,4,3,2,2,2,1,1,1,5,1,5,2,5,1,5,5,4,3,4,4,4,3,3,3,3,3,3,3,4,3,4,4,3,4,3,3,4,36,18,48,29,31,72.0,36.0,96.0,58.0,62.0
Caucasian (European),34,Yes,Female,Right,Other or not provided,AU,2,4,5,2,5,1,5,4,3,2,2,4,3,3,4,1,3,2,2,1,2,4,2,4,4,3,1,4,4,5,4,1,5,2,3,2,4,2,3,4,5,2,4,1,4,2,5,5,4,4,37,23,39,40,44,74.0,46.0,78.0,80.0,88.0
Caucasian (European),19,Yes,Male,Right,Another page,US,4,3,3,3,3,2,1,3,2,4,2,5,3,1,4,3,2,1,3,1,4,4,4,4,5,4,5,2,4,4,1,5,4,4,1,4,3,4,2,3,2,1,5,1,5,1,5,3,4,5,28,25,28,21,44,56.0,50.0,56.0,42.0,88.0
South East Asian,19,Yes,Female,Right,Another page,ID,1,5,2,5,2,5,1,5,1,5,2,4,3,4,2,2,3,3,3,4,4,4,2,4,3,4,4,4,2,4,4,4,4,4,3,2,4,3,3,4,4,2,5,4,4,1,5,2,5,5,12,26,33,33,41,24.0,52.0,66.0,66.0,82.0
Caucasian (European),18,Yes,Female,Right,Other or not provided,US,4,2,5,3,5,2,5,4,3,1,3,4,4,3,3,1,3,1,4,2,5,4,2,5,3,1,2,5,5,4,4,1,5,2,2,2,4,3,2,4,3,4,5,1,4,2,5,3,3,4,40,26,36,37,38,80.0,52.0,72.0,74.0,76.0
Caucasian (European),19,Yes,Female,Right,Another page,US,4,2,4,3,4,2,3,3,4,3,3,3,4,1,1,3,5,3,3,4,2,4,4,4,3,4,2,4,4,3,2,5,4,4,5,4,4,1,3,3,3,2,5,5,4,2,4,3,5,5,36,34,36,31,38,72.0,68.0,72.0,62.0,76.0
Caucasian (European),19,Yes,Male,Right,Another page,US,3,3,3,4,4,1,2,3,5,5,5,3,5,1,4,4,5,4,4,5,2,4,4,3,4,2,3,3,3,4,4,2,5,3,1,5,2,3,2,3,4,1,4,1,3,2,4,5,4,4,31,44,30,28,42,62.0,88.0,60.0,56.0,84.0
Mixed Race,13,Yes,Female,Right,Another page,US,1,4,4,4,3,4,5,5,1,4,2,3,4,4,2,1,5,5,4,1,4,5,3,2,2,1,2,3,4,2,4,1,5,2,3,1,3,3,4,4,5,1,5,1,4,1,4,4,5,4,23,29,30,40,46,46.0,58.0,60.0,80.0,92.0
North East Asian,23,No,Female,Right,Other or not provided,IN,1,1,5,5,5,1,1,1,3,1,5,1,5,4,5,5,5,5,1,2,5,1,1,5,4,5,4,5,5,2,5,5,1,3,5,4,1,3,1,3,5,1,3,4,4,1,4,1,4,3,36,40,33,25,36,72.0,80.0,66.0,50.0,72.0
Mixed Race,25,,Male,Right,Another page,CN,3,3,4,3,2,2,2,5,4,4,4,3,4,3,3,4,3,1,3,2,4,2,3,3,3,4,4,3,4,4,5,1,5,1,5,1,5,1,5,5,5,1,4,1,4,1,5,5,4,5,28,30,30,50,47,56.0,60.0,60.0,100.0,94.0
"Caucasian (North African, Other)",20,Yes,Male,Right,Another page,US,4,1,4,1,5,1,5,2,4,1,5,1,5,4,1,4,5,4,5,5,1,5,3,5,1,5,1,4,5,4,4,1,5,1,3,1,5,1,5,5,4,1,5,1,3,1,1,3,5,5,46,41,46,47,41,92.0,82.0,92.0,94.0,82.0
Other,19,No,Female,Right,Another page,PK,2,2,4,2,5,2,4,1,1,2,1,4,2,4,2,2,3,2,2,2,5,4,1,4,1,5,1,4,5,5,4,4,2,4,5,5,5,4,4,4,4,2,4,2,4,2,5,1,2,5,37,20,43,31,37,74.0,40.0,86.0,62.0,74.0
Mixed Race,33,Yes,Male,Right,Another page,JP,2,4,3,3,2,3,2,4,2,3,1,5,1,5,1,4,1,1,3,1,4,3,4,2,5,2,4,2,2,3,3,1,2,1,3,4,2,2,2,4,5,1,4,3,3,3,4,3,1,3,24,15,21,32,34,48.0,30.0,42.0,64.0,68.0
Caucasian (European),21,Yes,Female,Right,Other or not provided,US,4,1,5,2,4,2,4,1,4,2,4,4,5,3,3,3,3,2,3,2,2,4,2,5,1,4,1,4,5,4,3,3,4,2,4,2,3,2,3,3,4,1,4,2,4,1,4,4,4,4,43,30,44,35,42,86.0,60.0,88.0,70.0,84.0
