race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
Caucasian (European),27,Yes,Female,Right,Another page,US,1,2,2,4,2,2,1,4,2,5,3,4,5,3,4,2,3,2,3,2,1,4,2,4,2,4,1,4,4,3,4,2,5,2,5,2,4,2,4,3,4,2,4,2,3,2,4,4,4,4,21,29,41,41,39,42.0,58.0,82.0,82.0,78.0
Mixed Race,17,Yes,Male,Right,Another page,US,5,1,1,1,5,1,5,1,5,1,1,5,1,5,1,1,1,1,1,1,5,1,5,1,5,5,5,1,1,5,5,1,5,1,5,1,5,1,1,1,5,1,5,1,5,1,5,5,5,5,46,10,18,42,50,92.0,20.0,36.0,84.0,100.0
Native American,17,Yes,Female,Right,Other or not provided,US,4,2,3,3,3,2,5,3,5,5,5,2,5,4,5,5,5,3,5,2,2,5,2,4,2,5,2,5,3,3,4,1,4,5,5,2,5,1,4,3,2,2,1,1,3,1,4,4,5,2,35,41,41,40,35,70.0,82.0,82.0,80.0,70.0
"Caucasian (North African, Other)",17,Yes,Female,Right,Other or not provided,US,2,3,2,4,2,2,2,4,3,5,3,3,4,3,4,3,4,2,4,3,3,3,2,4,3,4,3,3,3,3,4,2,5,3,2,3,4,3,2,3,3,3,4,3,4,2,4,2,4,5,23,33,33,33,36,46.0,66.0,66.0,66.0,72.0
Other,60,Yes,Female,Right,Other or not provided,US,3,1,5,1,5,1,5,1,5,1,2,2,5,1,5,4,5,4,5,5,1,5,5,5,5,4,1,4,5,5,5,1,5,2,5,1,5,1,5,4,4,2,4,2,5,1,5,2,5,5,48,44,40,48,43,96.0,88.0,80.0,96.0,86.0
Caucasian (European),27,Yes,Female,Right,Google,CA,1,3,4,5,3,3,3,5,1,5,4,2,5,3,4,5,4,4,3,4,1,5,1,5,1,5,1,5,5,5,5,4,4,3,2,4,3,2,4,4,4,3,5,4,3,1,5,4,5,2,21,40,50,33,38,42.0,80.0,100.0,66.0,76.0
Caucasian (European),19,Yes,Female,Right,Google,US,4,2,4,3,5,2,5,2,5,3,5,2,4,2,4,3,3,3,3,4,1,4,2,4,2,3,1,3,5,4,5,3,3,3,4,3,5,1,5,5,5,2,4,2,5,1,4,4,4,5,41,37,41,41,44,82.0,74.0,82.0,82.0,88.0
Caucasian (European),20,Yes,Male,Right,Another page,US,1,5,2,5,2,3,1,4,2,5,3,4,3,3,2,2,2,2,4,3,4,3,4,2,3,2,4,3,3,3,3,3,4,2,2,3,3,3,2,4,4,3,5,3,3,2,3,3,4,3,16,26,25,31,35,32.0,52.0,50.0,62.0,70.0
Caucasian (Indian),19,Yes,Male,Right,Another page,IN,2,3,5,2,5,2,3,2,5,1,1,2,2,3,1,1,1,1,1,3,5,5,1,4,1,4,2,4,4,5,5,1,5,1,5,1,4,1,5,5,4,2,3,1,4,1,5,1,5,4,40,18,41,49,40,80.0,36.0,82.0,98.0,80.0
Other,26,No,Female,Right,Another page,US,1,5,1,5,1,5,1,5,1,5,5,2,5,1,5,5,5,5,4,5,4,3,1,4,3,5,2,4,4,3,1,4,2,5,1,5,3,5,3,2,5,2,5,1,4,1,2,5,5,4,10,48,37,17,44,20.0,96.0,74.0,34.0,88.0
"Caucasian (North African, Other)",24,No,Male,Right,Another page,MX,1,2,3,5,4,1,1,3,4,4,4,3,5,3,4,4,4,4,5,3,4,3,5,4,1,5,3,3,3,2,4,5,4,4,1,4,3,4,2,3,4,2,5,2,5,3,5,4,4,5,28,39,31,24,43,56.0,78.0,62.0,48.0,86.0
Caucasian (European),19,Yes,Female,Left,Another page,US,1,4,2,4,1,2,1,4,2,5,5,2,5,2,2,4,5,4,3,3,2,4,3,5,2,4,2,3,4,2,4,3,5,4,2,4,5,2,4,4,4,3,4,3,3,2,4,3,4,4,18,39,37,35,36,36.0,78.0,74.0,70.0,72.0
Caucasian (European),18,Yes,Female,Right,Other or not provided,GB,2,3,2,5,2,1,1,3,5,5,5,2,5,2,5,5,5,5,5,5,3,2,3,2,3,5,3,3,3,3,1,5,3,5,3,5,3,5,2,4,5,3,5,4,5,1,4,5,5,5,25,48,30,20,44,50.0,96.0,60.0,40.0,88.0
Caucasian (European),14,Yes,Female,Right,Another page,US,2,2,2,2,4,1,2,2,2,4,4,3,4,2,3,5,4,4,4,2,4,4,4,2,2,3,1,3,3,2,2,3,5,3,1,5,2,3,2,3,5,2,4,2,4,2,3,4,5,5,31,37,30,25,42,62.0,74.0,60.0,50.0,84.0
Other,25,No,Female,Right,Another page,IN,2,1,4,2,4,1,1,4,2,3,5,3,2,2,2,2,1,1,2,2,1,5,1,5,2,4,1,2,5,5,5,1,4,1,5,1,2,1,4,4,3,2,1,2,2,1,4,1,4,4,32,24,45,44,32,64.0,48.0,90.0,88.0,64.0
Caucasian (European),47,Yes,Male,Right,Another page,US,4,1,3,1,2,1,4,4,4,4,4,3,4,3,2,3,4,3,3,3,2,5,2,2,5,4,3,3,1,3,5,4,4,1,3,1,5,1,4,4,5,1,4,1,5,1,4,5,3,5,36,32,30,42,46,72.0,64.0,60.0,84.0,92.0
