,race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,E,N,A,C,O,E%,N%,A%,C%,O%
11320,3,24,1,2,3,5,US,4,2,4,2,4,2,4,3,4,2,2,4,2,3,2,3,2,2,3,2,2,4,4,3,3,2,3,4,3,4,4,2,4,2,2,2,4,3,4,4,4,2,4,3,4,2,4,4,4,4,39,23,32,37,39,78.0,46.0,64.0,74.0,78.0
11321,3,48,2,1,1,5,NL,4,1,5,1,5,1,5,3,5,2,2,4,3,4,2,1,1,3,1,4,2,5,1,4,1,3,1,5,5,5,4,3,4,2,4,1,3,1,4,4,5,1,5,1,5,1,4,4,5,5,46,21,46,40,48,92.0,42.0,92.0,80.0,96.0
11322,1,18,1,2,1,2,US,4,1,5,1,4,1,4,2,4,2,5,1,5,3,2,5,4,4,5,4,3,4,4,4,2,3,3,3,4,3,3,4,3,4,3,3,4,2,5,3,4,4,2,3,4,3,4,4,3,5,44,42,33,32,34,88.0,84.0,66.0,64.0,68.0
11323,4,24,2,1,1,1,IN,1,5,1,5,1,5,1,5,1,5,5,1,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,5,5,4,2,1,3,5,5,1,5,5,3,3,1,3,2,3,3,3,3,1,5,2,10,46,37,33,26,20.0,92.0,74.0,66.0,52.0
11324,3,18,2,2,3,2,US,1,4,2,3,1,4,3,4,2,4,1,3,1,2,2,1,2,1,4,3,2,3,2,1,4,1,4,3,1,4,5,1,5,1,4,2,5,1,5,5,4,3,3,3,4,3,4,5,2,4,20,22,25,48,35,40.0,44.0,50.0,96.0,70.0
11325,3,37,1,2,1,1,US,4,4,5,1,3,1,3,2,4,2,4,5,4,5,2,1,2,1,2,1,2,4,1,4,1,4,1,4,4,4,5,1,5,1,5,1,5,1,5,5,2,2,4,4,4,3,5,1,3,3,39,19,43,50,31,78.0,38.0,86.0,100.0,62.0
11326,3,29,1,2,1,1,GB,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,4,2,3,3,2,3,3,4,2,3,2,3,3,4,3,3,3,31,27,32,29,34,62.0,54.0,64.0,58.0,68.0
11327,11,18,1,2,1,2,US,1,5,3,4,4,3,2,4,4,5,3,4,4,3,2,2,2,1,2,1,3,5,2,5,2,4,2,4,5,3,4,2,4,1,1,1,4,2,3,5,3,1,5,1,4,1,3,3,5,3,23,22,41,39,41,46.0,44.0,82.0,78.0,82.0
11328,3,18,2,2,2,1,SE,1,4,3,4,2,2,1,5,1,5,1,5,5,2,5,2,3,1,1,2,1,5,1,5,2,5,2,4,5,2,3,3,5,3,4,1,5,3,5,2,1,3,5,3,4,1,1,2,5,4,18,25,44,38,33,36.0,50.0,88.0,76.0,66.0
11329,4,26,2,2,2,5,US,2,4,3,4,3,3,3,3,4,5,5,2,4,3,2,1,1,1,1,2,2,3,1,4,2,5,3,3,4,4,3,1,5,1,3,1,2,1,5,4,3,1,5,1,5,1,5,3,5,4,26,24,39,42,45,52.0,48.0,78.0,84.0,90.0
11330,1,20,1,2,1,1,JM,1,4,2,5,3,2,1,5,1,5,3,3,5,4,1,5,5,5,5,4,5,2,3,4,4,2,5,5,2,4,4,1,4,1,5,1,5,4,5,4,3,3,4,1,4,1,4,2,5,4,17,38,26,44,39,34.0,76.0,52.0,88.0,78.0
11331,3,44,1,2,1,5,US,1,3,2,3,2,2,1,1,2,4,4,2,5,1,4,3,4,3,4,4,1,4,1,4,2,4,2,2,4,2,5,1,5,1,4,1,5,1,5,5,5,2,2,2,5,4,4,5,4,4,25,40,38,49,39,50.0,80.0,76.0,98.0,78.0
11332,6,60,1,1,1,1,US,5,2,5,2,5,2,3,4,4,2,3,3,4,5,2,3,2,3,3,2,1,5,1,5,1,5,5,4,5,5,5,2,5,2,3,3,5,1,5,5,4,4,4,3,3,3,4,2,4,3,40,26,45,44,32,80.0,52.0,90.0,88.0,64.0
11333,3,43,2,2,1,1,BR,3,1,3,3,5,2,3,4,3,3,4,4,4,2,3,4,4,2,3,2,2,5,1,4,3,5,2,4,3,5,3,1,5,2,2,1,4,3,4,4,4,4,4,4,2,1,3,4,4,3,34,32,42,39,33,68.0,64.0,84.0,78.0,66.0
11334,3,42,1,2,1,1,GB,4,1,5,2,5,1,3,3,2,1,3,4,3,4,3,4,4,3,5,2,1,5,3,4,1,5,1,4,4,5,4,5,3,3,2,3,4,2,4,4,5,3,5,3,5,1,4,4,3,5,41,31,45,32,42,82.0,62.0,90.0,64.0,84.0
11335,1,45,1,2,1,1,NZ,2,3,3,3,3,3,3,1,1,5,1,4,3,4,3,1,1,1,2,1,3,4,1,3,4,5,1,3,4,4,3,1,3,1,3,3,5,1,4,3,3,3,2,2,2,1,3,1,1,1,27,17,38,39,25,54.0,34.0,76.0,78.0,50.0
11336,3,19,1,2,1,1,GB,3,2,5,2,4,1,5,2,4,2,5,4,5,1,4,4,4,5,5,4,2,4,4,4,2,4,1,4,5,4,1,5,5,5,1,2,1,2,5,3,2,3,5,2,3,1,5,2,5,4,42,43,40,26,38,84.0,86.0,80.0,52.0,76.0
11337,1,32,1,2,1,1,US,3,4,2,3,4,5,5,4,2,5,4,3,4,3,5,4,5,3,5,2,5,2,5,3,3,3,3,2,2,3,4,1,5,1,5,1,5,1,5,5,3,1,5,1,4,1,4,3,3,5,25,38,23,49,42,50.0,76.0,46.0,98.0,84.0
11338,3,17,2,2,1,1,AT,1,5,2,5,2,2,1,4,4,5,5,2,5,1,2,2,5,5,2,5,2,4,4,5,4,4,4,2,2,2,5,1,5,5,2,5,5,1,5,5,5,1,5,2,5,1,5,5,5,5,19,40,29,39,49,38.0,80.0,58.0,78.0,98.0
11339,1,16,1,2,3,1,GB,2,4,2,5,2,4,2,5,2,5,4,2,5,1,3,2,4,4,5,5,3,2,4,2,3,2,3,3,3,3,5,1,5,2,4,2,5,4,5,5,5,2,5,2,4,1,5,5,5,5,17,41,26,44,47,34.0,82.0,52.0,88.0,94.0
11340,3,28,1,2,1,5,US,4,2,5,1,5,2,3,1,4,4,3,5,4,4,1,2,2,2,3,1,1,5,3,5,2,4,1,4,2,4,3,3,4,2,4,2,5,1,4,4,5,3,4,1,5,1,3,4,3,3,41,21,41,40,40,82.0,42.0,82.0,80.0,80.0
11341,4,22,2,2,1,5,BD,1,3,3,2,1,3,1,3,2,5,2,4,2,4,1,1,3,2,1,1,1,3,1,3,3,5,4,3,4,5,3,3,3,2,3,4,5,2,3,3,2,2,3,3,3,3,5,1,2,3,22,17,38,33,29,44.0,34.0,76.0,66.0,58.0
11342,4,23,2,1,1,1,IN,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30,42,34,34,38,60.0,84.0,68.0,68.0,76.0
11343,4,22,2,2,1,5,BD,2,2,3,2,1,2,1,4,2,4,1,4,2,4,1,1,2,2,1,1,1,4,1,4,4,5,2,4,5,4,3,3,3,2,3,3,5,1,5,2,2,2,3,2,3,1,5,1,2,3,25,15,42,36,32,50.0,30.0,84.0,72.0,64.0
11344,11,26,1,2,1,5,US,3,3,5,3,4,2,5,3,2,4,3,5,5,3,2,3,3,3,3,1,5,5,2,5,3,4,2,5,5,5,4,5,5,4,3,4,5,4,4,3,3,3,3,3,4,2,4,4,5,5,34,27,41,31,38,68.0,54.0,82.0,62.0,76.0
11345,5,38,2,1,1,5,US,3,2,5,3,4,3,3,3,5,3,4,3,3,4,3,3,4,2,3,2,3,4,3,3,2,3,2,4,3,3,3,3,3,2,4,2,3,3,2,4,4,1,5,1,4,1,5,3,3,4,36,29,34,33,43,72.0,58.0,68.0,66.0,86.0
11346,3,54,1,2,1,1,US,1,5,4,2,3,2,1,5,1,5,5,1,5,1,5,5,5,5,5,5,1,5,1,5,1,5,1,4,3,5,1,1,3,3,3,3,4,1,1,3,3,3,3,5,3,1,3,1,3,5,21,50,47,31,30,42.0,100.0,94.0,62.0,60.0
11347,3,16,1,2,1,1,US,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,5,5,5,5,5,1,5,5,5,1,5,1,1,5,5,1,5,5,5,1,5,5,5,1,1,5,1,5,1,5,1,5,5,5,5,50,46,42,18,50,100.0,92.0,84.0,36.0,100.0
11348,11,17,1,2,1,1,US,3,2,4,4,2,2,2,3,4,1,5,2,5,2,2,5,4,5,5,4,2,4,1,4,2,4,2,4,4,3,2,5,4,5,1,5,4,4,4,4,2,3,4,2,4,2,3,1,4,5,33,43,40,24,34,66.0,86.0,80.0,48.0,68.0
11349,11,21,2,1,1,1,PH,3,3,3,3,3,2,2,4,2,2,4,3,5,2,3,3,4,4,3,4,3,3,2,4,2,4,3,2,3,4,2,4,4,3,3,2,3,3,2,3,2,4,4,4,4,2,4,2,4,4,29,37,34,29,32,58.0,74.0,68.0,58.0,64.0
